実測値,マ�カの点x,マ�カの点y,距離推�,キャリブレーション結果,error[%],error2[%],error[m],error2[m]
680,517,673,763.74,677.4896482,12.31470588,0.369169383,83.74,2.510351804
680,517,673,763.85,677.4896482,12.33088235,0.369169383,83.85,2.510351804
680,517,673,763.74,677.4896482,12.31470588,0.369169383,83.74,2.510351804
700,522,676,813.16,714.0265975,16.16571429,2.003799648,113.16,14.02659754
700,522,676,812.95,714.0265975,16.13571429,2.003799648,112.95,14.02659754
700,522,676,813.16,714.0265975,16.16571429,2.003799648,113.16,14.02659754
720,523,678,844.76,739.2120954,17.32777778,2.668346583,124.76,19.2120954
720,524,678,845.01,740.0117211,17.3625,2.779405708,125.01,20.0117211
720,524,678,845.01,740.0117211,17.3625,2.779405708,125.01,20.0117211
740,520,681,897.83,776.8083448,21.32837838,4.974100648,157.83,36.8083448
740,520,681,897.83,776.8083448,21.32837838,4.974100648,157.83,36.8083448
740,520,681,897.83,776.8083448,21.32837838,4.974100648,157.83,36.8083448
760,511,674,775.9,686.2877532,2.092105263,9.698979847,15.9,73.71224684
760,511,675,789.76,697.4244114,3.915789474,8.233630085,29.76,62.57558865
760,511,675,789.76,697.4244114,3.915789474,8.233630085,29.76,62.57558865
780,516,678,840.46,734.8517113,7.751282051,5.788242135,60.46,45.14828866
780,516,678,840.46,734.8517113,7.751282051,5.788242135,60.46,45.14828866
780,516,678,840.46,734.8517113,7.751282051,5.788242135,60.46,45.14828866
800,497,674,779.79,686.8198423,2.52625,14.14751971,20.21,113.1801577
800,497,674,779.79,686.8198423,2.52625,14.14751971,20.21,113.1801577
800,497,674,779.79,686.8198423,2.52625,14.14751971,20.21,113.1801577
820,500,682,915.5,786.1573625,11.64634146,4.127150915,95.5,33.8426375
820,500,682,921.6,786.1573625,12.3902439,4.127150915,101.6,33.8426375
820,500,683,933.99,800.7042575,13.90121951,2.353139324,113.99,19.29574245
840,500,685,979.15,831.4447943,16.56547619,1.018476875,139.15,8.555205748
840,500,684,965.78,815.7896678,14.97380952,2.882182405,125.78,24.2103322
840,500,684,965.78,815.7896678,14.97380952,2.882182405,125.78,24.2103322
,,,,,,,,
,,,,,,,,
860,536,677,843.19,740.3438332,1.954651163,13.91350776,16.81,119.6561668
880,523,686,1003.7,856.0151664,14.05681818,2.725549271,123.7,23.98483358
880,524,686,1004.7,857.0537251,14.17045455,2.607531241,124.7,22.94627492
880,524,685,983.35,840.472777,11.74431818,4.491729883,103.35,39.52722297
900,521,681,898.67,777.5394367,0.147777778,13.60672925,1.33,122.4605633
900,521,681,898.67,777.5394367,0.147777778,13.60672925,1.33,122.4605633
900,521,681,898.67,777.5394367,0.147777778,13.60672925,1.33,122.4605633
920,510,683,930.83,800.7050636,1.177173913,12.96684091,10.83,119.2949364
920,510,683,930.85,800.7050636,1.179347826,12.96684091,10.85,119.2949364
920,510,683,930.83,800.7050636,1.177173913,12.96684091,10.83,119.2949364
,,,,,,,,
940,508,690,1093.4,919.0354077,16.31914894,2.230275772,153.4,20.96459226
940,509,690,1093.3,919.2589713,16.30851064,2.206492412,153.3,20.74102867
,,,,,,,,
960,532,693,1190.1,1007.869443,23.96875,4.986400322,230.1,47.86944309
960,532,693,1190.1,1007.869443,23.96875,4.986400322,230.1,47.86944309
,,,,,,,,
980,526,694,1206.9,1020.436765,23.15306122,4.126200494,226.9,40.43676484
980,526,694,1206.4,1020.436765,23.10204082,4.126200494,226.4,40.43676484
,,,,,,,287.08,122.4605633
